ID,Title,Notes,BoilerText,DisplayDate,YearPublished,Format,Language,NumOfPages,Journal,Series
270,"The Old Kingdom Art and Archaeology, pp. 133-143, ""The Development of the Eastern and GIS Cemeteries at Giza during the Fourth Dynasty""",The Development of the Eastern and GIS Cemeteries at Giza during the Fourth Dynasty,"Flentye, Laurel. ""The Development of the Eastern and GIS Cemeteries at Giza during the Fourth Dynasty."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 133-143.",2006,2006,Article,ENGLISH,11,NULL,NULL
271,"The Old Kingdom Art and Archaeology, pp. 145-156, ""Rethinking the Rules for Old Kingdom Sculpture. Observations on Poses and Attributes of Limestone Statuary from Giza""",Rethinking the Rules for Old Kingdom Sculpture. Observations on Poses and Attributes of Limestone Statuary from Giza,"Freed, Rita E. ""Rethiking the Rules for Old Kingdom Sculpture. Observations on Poses and Attributes of Limestone Statuary from Giza."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 145-156.",2006,2006,Article,ENGLISH,NULL,NULL,NULL
272,"The Old Kingdom Art and Archaeology, pp. 175-183, ""Old Kingdom Tombs and Dating - Problems and Priorities. The Cemetery en Échelon at Giza""",Old Kingdom Tombs and Dating - Problems and Priorities. The Cemetery en Echelon at Giza,"Jánosi, Peter. ""Old Kingdom Tombs and Dating - Problems and Priorities. The Cemetery en Échelon at Giza."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 175-183.",2006,2006,Article,ENGLISH,NULL,NULL,NULL
273,"The Old Kingdom Art and Archaeology, pp. 193-202, ""The Title xtmtj nTr - God's Sealer - in the Old Kingdom.""",The Title xtmtj nTr - God's Sealer - in the Old Kingdom,"Kuraszkiewicz, Kamil O. ""The Title xtmtj nTr - God's Sealer - in the Old Kingdom.""&nbsp;In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 193-202.",2006,2006,Article,ENGLISH,NULL,NULL,NULL
274,"The Old Kingdom Art and Archaeology, pp. 209-218, ""Stones, Ancestors, and Pyramids: Investigating the Pre-pyramid Landscape of Memphis""","Stones, Ancestors, and Pyramids: Investigating the Pre-pyramid Landscape of Memphis","Love, Serena. ""Stones, Ancestors, and Pyramids: Investigating the Pre-pyramid Landscape of Memphis."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 209-218.",2006,2006,Article,ENGLISH,NULL,NULL,NULL
275,"The Old Kingdom Art and Archaeology, pp. 221-230, ""A Re-examination of Reisner's Nucleus Cemetery Concept at Giza. Preliminary Remarks on Cemetery G 2100""",A Reexamination of Reisner's Nucleus Cemetery Concept at Giza. Preliminary Remarks on Cemetery G 2100,"Manuelian, Peter Der. ""A Re-examination of Reisner's Nucleus Cemetery Concept at Giza. Preliminary Remarks on Cemetery G 2100."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 221-230.",2006,2006,Article,ENGLISH,10,NULL,NULL
276,"The Old Kingdom Art and Archaeology, pp. 259-280, ""Der Grabherr und die Lotosblume. Zu Lokalen und Geschlechtsspezifischen Traditionen eines Motivkreises""",Der Grabherr und die Lotosblume. Zu Lokalen und Geschlechtsspezifischen Traditionen eines Motivkreises,"Pieke, Gabriele. ""Der Grabherr und die Lotosblume. Zu Lokalen und Geschlechtsspezifischen Traditionen eines Motivkreises."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 259-280.",2006,2006,Article,GERMAN,NULL,NULL,NULL
277,"The Old Kingdom Art and Archaeology, pp. 239-258, ""Two Enigmatic Circular Mud Brick Structures in the Western Field at Giza. A Preliminary Report""",Two Enigmatic Circular Mud Brick Structures in the Western Field at Giza. A Preliminary Report,"Phillips, Steven R. ""Two Enigmatic Circular Mud Brick Structures in the Western Field at Giza. A Preliminary Report."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 239-258.",2006,2006,Article,ENGLISH,NULL,NULL,NULL
278,"The Old Kingdom Art and Archaeology, pp. 281-296, ""Little Women: Gender and Hierarchic Proportion in Old Kingdom Mastaba Chapels""",Little Women: Gender and Hierarchic Proportion in Old Kingdom Mastaba Chapels,"Roth, Ann Macy. ""Little Women: Gender and Hierarchic Proportion in Old Kingdom Mastaba Chapels."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 281-296.",2006,2006,Article,ENGLISH,NULL,NULL,NULL
279,"The Old Kingdom Art and Archaeology, pp. 315-325, ""Dog Missing His Master. Reflections on an Old Kingdom Tomb Relief in the Walters Art Museum, Baltimore""","Dog Missing His Master. Reflections on an Old Kingdom Tomb Relief in the Walters Art Museum, Baltimore","Schulz, Regine. ""Dog Missing His Master. Reflections on an Old Kingdom Tomb Relief in the Walters Art Museum, Baltimore."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 315-325.",2006,2006,Article,ENGLISH,NULL,NULL,NULL
280,"The Old Kingdom Art and Archaeology, pp. 325-333, ""Ideal and Reality in Old Kingdom Private Funerary Cults""",Ideal and Reality in Old Kingdom Private Funerary Cults,"Shirai, Yayoi. ""Ideal and Reality in Old Kingdom Private Funerary Cults."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 325-333.",2006,2006,Article,ENGLISH,NULL,NULL,NULL
281,"The Old Kingdom Art and Archaeology, pp. 335-341, ""The Translation of Texts of the Old Kingdom""",The Translation of Texts of the Old Kingdom,"Strudwick, Nigel. ""The Translation of Texts of the Old Kingdom."" In Miroslav Bárta, ed. <I>The Old Kingdom Art and Archaeology</I>. <I>Proceedings of the Conference held in Prague, May 31-June 4, 2004.</I> Prague: Czech Institute of Egyptology, 2006, pp. 335-341.",2006,2006,Article,ENGLISH,NULL,NULL,NULL
282,Der Serdab in den Privatgräbern des Alten Reiches 2. Abbildungen,Der Serdab in den Privatgrabern des Alten Reiches 2. Abbildungen,"Lehmann, Katja. <I>Der Serdab in den Privatgräbern des Alten Reiches</I> 2. Abbildungen. Ph.D. Dissertation, Universität Heidelberg, 2000.",2000,2000,Doctoral Thesis,GERMAN,NULL,NULL,NULL
283,Der Serdab in den Privatgräbern des Alten Reiches 3. Katalog,Der Serdab in den Privatgrabern des Alten Reiches 3. Katalog,"Lehmann, Katja. <I>Der Serdab in den Privatgräbern des Alten Reiches</I> 3. Katalog. Ph.D. Dissertation, Universität Heidelberg, 2000.<BR><BR>",2000,2000,Doctoral Thesis,GERMAN,NULL,NULL,NULL
284,Statue und Kult 2. Belegtabellen,Statue und Kult 2,"Fitzenreiter, Martin. <I>Statue und Kult: Eine Studie der funerären Praxis an nichtköniglichen Grabanlagen der Residenz im Alten Reich</I> Bd. 2: Belegtabellen. Internet-Beiträge zur Ägyptologie und Sudanarchäologie 3. Berlin: Lepsius-Institut, Humboldt-Universität zu Berlin, 2001.<BR>",2001,2001,Book,GERMAN,NULL,NULL,Internet-Beiträge zur Ägyptologie und Sudanarchäologie
285,"Göttinger Miszellen 208 (2006), pp. 19-28, ""Zum Phänomen der Isolierten Speisetischtafel in der 4. Dynastie""",Zum Phanomen der Isolierten Speisetischtafel in der 4. Dynastie,"Fitzenreiter, Martin. ""Zum Phänomen der Isolierten Speisetischtafel in der 4. Dynastie."" <I>Göttinger Miszellen </I>208 (2006), pp. 19-28.",2006,2006,Journal Article,GERMAN,10,Göttinger Miszellen,
286,"Göttinger Miszellen 216 (2008), pp. 75-78, ""Les fouilles de S. Hassan à Gîza en1938 et le temple d'Osiris de Ro-Sètaou au Nouvel Empire""",Les fouilles de S. Hassan&nbsp;a Giza en1938 et le temple d'Osiris de Ro-Sètaou au Nouvel Empire,"Pasquali, Stéphane. ""Les fouilles de S. Hassan à Gîza en 1938 et le temple d'Osiris de Ro-Sètaou au Nouvel Empire."" <I>Göttinger Miszellen</I> 216 (2008), pp. 75-78.",2008,2008,Journal Article,FRENCH,4,Göttinger Miszellen,
287,"Göttinger Miszellen 215 (2007), pp. 7-8, ""Des fouilles 'discrètes' à Ro-Sètaou en 1931?""",Des fouilles discretes&nbsp;a Ro-Setaou en 1931?,"Pasquali, Stéphane. ""Des fouilles «discrètes» à Ro-Staou en 1931? <I>Göttinger Miszellen</I> 215 (2007), pp. 7-8.",2007,2007,Journal Article,FRENCH,2,Göttinger Miszellen,
288,The Egyptian Concept of Immortality,The Egyptian Concept of Immortality,"Reisner, George A. <I>The Egyptian Conception of Immortality</I>. The Ingersoll Lecture, 1911. Boston &amp; New York: Houghton Mifflin Co., and Cambridge: The Riverside Press, 1912.",1912,1912,Book,ENGLISH,NULL,NULL,NULL
289,The Pyramids of Giza,The Pyramids of Giza,"Quibell, A.A. <I>The Pyramids of Giza</I>. Cairo: C.M.S. Bookshop, undated.",NULL,NULL,Book,ENGLISH,NULL,NULL,NULL
290,"KMT 16, No. 3 (Fall 2005), pp. 68-80, ""Virtual Pyramids - Real Research: The Giza Archive Project Goes Live Online""",Virtual Pyramids - Real Research: The Giza Archive Project Goes Live Online,"Manuelian, Peter Der. ""Virtual Pyramids - Real Research: The Giza Archive Project Goes Live Online."" <I>KMT</I> 16, No. 3 (Fall 2005), pp. 68-80.",Fall 2005,2005,Magazine,ENGLISH,13,KMT,
291,"Bulletin of the Museum of Fine Arts, Boston 29, No. 172 (December 1931), p. 26, ""The Late Egyptian Gallery Rearranged""",The Late Egyptian Gallery Rearranged,"Dunham, Dows. ""The Late Egyptian Gallery Rearranged.""<EM> Bulletin of the Museum of Fine Arts, Boston</EM> 29, No. 172 (December 1931), p. 26.",April 1931,1931,Bulletin,ENGLISH,2,"Bulletin of the Museum of Fine Arts, Boston",
292,"KMT 1, No. 4 (1990-91), pp. 10-21, ""A Race against Time in the Shadow of the Pyramids. The Museum of Fine Arts, Boston and the Giza Necropolis, 1902-1990""","A Race against Time in the Shadow of the Pyramids. The Museum of Fine Arts, Boston and the Giza Necropolis, 1902-1990","Manuelian, Peter Der. ""A Race against Time in the Shadow of the Pyramids. The Museum of Fine Arts, Boston and the Giza Necropolis, 1902-1990.""<I> KMT</I> 1, No. 4 (1990-91), pp. 10-21.",1990-91,1990,Magazine,ENGLISH,12,KMT,
293,"Archiv Orientální 70, No. 3 (August 2002), pp. 319-328, ""An Approach to Archaeological Information Management: The Giza Archives Project""",An Approach to Archaeological Information Management: The Giza Archives Project,"Manuelian, Peter Der. ""An Approach to Archaeological Information Management: The Giza Archives Project."" In Filip Coppens, ed. <I>Abusir and Saqqara in the year 2001. </I>Proceedings of the Symposium (Prague, September 25th-27th, 2001)<I>.</I> <I>Archiv Orientální </I>70, No. 3 (August 2002). Prague: Oriental Institute, Academy of Sciences of the Czech Republic, pp. 319-328.",2002,2002,Journal Article,ENGLISH,10,Archiv Orientální,
294,"Sokar 10 (2005), pp. 10-17, ""Das 'Giza Archiv-Projekt.' Interview mit Peter Der Manuelian""",Das Giza Archiv-Projekt. Interview mit Peter Der Manuelian,"Haase, Michael. ""Das 'Giza Archiv-Projekt.' Interview mit Peter Der Manuelian."" <I>Sokar</I> 10 (2005), pp. 10-17.",2005,2005,Magazine,GERMAN,8,Sokar,
295,"Egyptian Archaeology 28 (2006), pp. 31-33, ""The Giza Archives Project""",The Giza Archives Project,"Manuelian, Peter Der. ""The Giza Archives Project."" <I>Egyptian Archaeology </I>28 (2006), pp. 31-33.",2006,2006,Magazine,ENGLISH,3,Egyptian Archaeology,
296,The Pyramid Tomb of Hetep-heres and the Satellite Pyramid of Khufu,The Pyramid Tomb of Hetep-heres and the Satellite Pyramid of Khufu,"Lehner, Mark. <I>The Pyramid Tomb of Hetep-heres and the Satellite Pyramid of Khufu</I>. Deutsches Archäologisches Institut, Abt. Kairo, Sonderschrift 19. Mainz am Rhein: Philipp von Zabern, 1985.<I></I>",1985,1985,Book,ENGLISH,NULL,NULL,Deutsches Archäologisches Institut Abteilung Kairo Sonderschrift
297,"Iubilate Conlegae: Studies in Memory of Abdel Aziz Sadek, Part 1. Varia Aegyptiaca 10, Nos. 2-3 (1995), pp. 105-124, ""The Discovery of the Pyramidion of the Satellite Pyramid of Khufu [GID], with an Appendix by Josef Dorner""","The Discovery of the Pyramidion of the Satellite Pyramid of Khufu [GID], with an Appendix by Josef Dorner","Hawass, Zahi. ""The Discovery of the Pyramidion of the Satellite Pyramid of Khufu [GID], with an Appendix by Josef Dorner"" In Charles C. Van Siclen III, ed. <I>Iubilate Conlegae. Studies in Memory of Abdel Aziz Sadek</I>, Part 1<I>.</I> <I>Varia Aegyptiaca </I>10, Nos. 2-3 (August-December 1995). San Antonio: Van Siclen Books, 1997, pp. 105-124.",1997,1997,Article,ENGLISH,NULL,NULL,Varia Aegyptiaca
299,"Kunst des Alten Reich, pp. 97-101, ""A Group of Unique Statues Discovered at Giza II:  An Unfinished Reserve Head and a Statuette of an Overseer""",A Group of Unique Statues Discovered at Giza 2:&nbsp; An Unfinished Reserve Head and a Statuette of an Overseer,"Hawass, Zahi. ""A Group of Unique Statues Discovered at Giza II. An Unfinished Reserve Head and a Statuette of an Overseer."" In Rainer Stadelmann and Hourig Sourouzian, eds. <EM>Kunst des Alten Reiches: Symposium im Deutschen Archäologischen Institut Kairo am 29. und 30. Oktober 1991</EM>.&nbsp;<EM> </EM>Sonderschrift des Deutschen Archäologischen Institut Abteilung Kairo 28. Mainz: Verlag Philipp von Zabern, 1995, pp. 97-101.",1995,1995,Article,ENGLISH,5,NULL,Deutsches Archäologisches Institut Abteilung Kairo Sonderschrift
300,"Les Criteres de datation stylistiques a l'ancien empire, pp. 187-208, ""A Group of Unique Statues Discovered at Giza III: The Statues of Jnty-šdw from Tomb GSE 1915""",A Group of Unique Statues Discovered at Giza 3: The Statues of Jnty-šdw from Tomb GSE 1915,"Hawass, Zahi. ""A Group of Unique Statues Discovered at Giza III: The Statues of Jnty-dw from Tomb GSE 1915."" In Nicolas Grimal, ed. <I>Les Critères de Datation Stylistiques à l'Ancien Empire</I>. Bibliothèque d'Étude 120. Cairo: Institut français d'archéologie orientale, 1998, pp. 187-208.<BR>",1998,1998,Article,ENGLISH,NULL,NULL,Bibliothèque d'Étude
301,"Reliefs des Alten Reiches, Teil 1, Pelizaeus-Museum Hildesheim, Lieferung 3",Reliefs des Alten Reiches 1,"Martin, Karl. <I>Reliefs des Alten Reiches</I>. Teil 1. Corpus Antiquitatum Aegyptiacarum. Pelizaeus-Museum Hildesheim, Lieferung 3. Mainz am Rhein: Philipp von Zabern, 1978.<BR>",1978,1978,Portfolio,GERMAN,NULL,NULL,Corpus Antiquitatum Aegyptiacarum
302,"Reliefs des Alten Reiches, Teil 2, Pelizaeus-Museum Hildesheim, Lieferung 7",Reliefs des Alten Reiches 2,"Martin, Karl. <I>Reliefs des Alten Reiches</I>. Teil 2. Corpus Antiquitatum Aegyptiacarum. Pelizaeus-Museum Hildesheim, Lieferung 7. Mainz am Rhein: Philipp von Zabern, 1979.<BR>",1979,1979,Portfolio,GERMAN,NULL,NULL,Corpus Antiquitatum Aegyptiacarum
303,"Reliefs des Alten Reiches und verwandte Denkmäler, Teil 3, Corpus Antiquitatum Aegyptiacarum, Pelizaeus-Museum Hildesheim, Lieferung 8",Reliefs des Alten Reiches und verwandte Denkmaler 3,"Martin, Karl. <I>Reliefs des Alten Reiches und verwandte Denkmäler</I>. Teil 3. Corpus Antiquitatum Aegyptiacarum. Pelizaeus-Museum Hildesheim, Lieferung 8. Mit Beiträgen von Peter Kaplony. Mainz am Rhein: Philipp von Zabern, 1980.<BR>",1980,1980,Portfolio,GERMAN,NULL,NULL,Corpus Antiquitatum Aegyptiacarum
304,"Plastik des Alten Reiches, Teil 1, Corpus Antiquitatum Aegyptiacarum, Pelizaeus-Museum Hildesheim, Lieferung 1",Plastik des Alten Reiches 1,"Martin-Pardey, Eva. <I>Plastik des Alten Reiches</I>. Teil 1. Corpus Antiquitatum Aegyptiacarum. Pelizaeus-Museum Hildesheim, Lieferung 1. Mainz am Rhein: Philipp von Zabern, 1977.<BR>",1977,1977,Portfolio,GERMAN,NULL,NULL,Corpus Antiquitatum Aegyptiacarum
305,"Plastik des Alten Reiches, Teil 2, Corpus Antiquitatum Aegyptiacarum, Pelizaeus-Museum Hildesheim, Lieferung 4",Plastik des Alten Reiches 2,"Martin-Pardey, Eva. <I>Plastik des Alten Reiches</I>. Teil 2. Corpus Antiquitatum Aegyptiacarum. Pelizaeus-Museum Hildesheim, Lieferung 4. Mainz am Rhein: Philipp von Zabern, 1978.<BR>",1978,1978,Portfolio,GERMAN,NULL,NULL,Corpus Antiquitatum Aegyptiacarum
306,"Eingeweidegefässe, Corpus Antiquitatum Aegyptiacarum, Pelizaeus-Museum Hildesheim, Lieferung 5",Eingeweidegefasse,"Martin-Pardey, Eva. <I>Eingeweidegefässe.</I> Corpus Antiquitatum Aegyptiacarum. Pelizaeus-Museum Hildesheim, Lieferung 5. Mainz am Rhein: Philipp von Zabern, 1979.<BR>",1979,1979,Portfolio,GERMAN,NULL,NULL,Corpus Antiquitatum Aegyptiacarum
307,"Egypt, Israel, and the Ancient Mediterranean World, pp. 21-39, ""The Tombs of the Pyramid Bilders - The Tomb of the Artisan Petety and His Curse""",The Tombs of the Pyramid Bilders - The Tomb of the Artisan Petety and His Curse,"Hawass, Zahi. ""The Tombs of the Pyramid Bilders - The Tomb of the Artisan Petety and His Curse."" In Gary A. Knoppers and Antoine Hirsch, eds. <I>Egypt, Israel, and the Ancient Mediterranean World: Studies in Honor of Donald B. Redford</I>. Probleme der Ägyptologie 20. Leiden &amp; Boston: Brill, 2004, pp. 21-39.<I></I>",2004,2004,Article,ENGLISH,NULL,NULL,Probleme der Ägyptologie
308,"ICOM-CC-Wood, Furniture and Lacquer, pp. 182-195, ""Cheops Wooden Boat and its Museum; Condition Case Study""",Cheops Wooden Boat and its Museum; Condition Case Study,"Hanna, Hany. ""Cheops Wooden Boat and its Museum; Condition Case Study."" In Hany Hanna, ed. <I>ICOM-CC-Wood, Furniture and Lacquer</I>. <I>International Conference on Heritage of Naqada and Qus Region. Monastery of the Archangel Michael, Naqada, Egypt. 22-28 January 2007</I>. Preprints 1. Egypt: International Council of Museums &amp; Diocese of Naqada and Qus, 2007, pp. 182-195.<I></I>",2007,2007,Article,ENGLISH,14,NULL,NULL
309,"Die Ägyptischen Personennamen, Bd. 1",Die Agyptischen Personennamen 1,"Ranke, Hermann. <I>Die Ägyptischen Personennamen</I>, Bd. 1: <I>Verzeichnis der Namen</I>. Glückstadt: J.J. Augustin, 1935.<I></I>",1935,1935,Book,GERMAN,NULL,NULL,NULL
310,"Die Ägyptischen Personennamen, Bd. 2",Die Agyptischen Personennamen 2,"Ranke, Hermann. <I>Die Ägyptischen Personennamen</I>, Bd. 2: <I>Einleitung. Form und Inhalt der Namen. Geshichte der Namen. Vergleiche mit andren Name. Nachträge und Zusätze zu Band I. Umschreibungslisten.</I> Glückstadt: J.J. Augustin, 1952.<I></I>",1952,1952,Book,GERMAN,NULL,NULL,NULL
311,"Die Ägyptischen Personennamen, Bd. 3",Die Agyptischen Personennamen 3,"Ranke, Hermann. <I>Die Ägyptischen Personennamen</I>, Bd. 3: <I>Verzeichnis der Bestandteile</I>. Glückstadt: J.J. Augustin, 1977.<I></I>",1977,1977,Book,GERMAN,NULL,NULL,NULL
312,"Bulletin of the John Rylands Library 44, No. 1 (September 1961), pp.  100-118, ""Studies in the Archaeology of the Near East II: Some Facts Concerning the Great Pyramids of el-Gîza and Their Royal Constructors""",Studies in the Archaeology of the Near East 2: Some Facts Concerning the Great Pyramids of el-Gîza and Their Royal Constructors,"Rowe, Alan. ""Studies in the Archaeology of the Near East II: Some Facts Concerning the Great Pyramids of el-Gîza and Their Royal Constructors."" <I>Bulletin of the John Rylands Library</I> 44, No. 1 (September 1961), pp. 100-118. <I></I>",1961,1961,Bulletin,ENGLISH,NULL,Bulletin of the John Rylands Library,NULL
313,Denkmäler aus Aegypten und Aethiopien. Text 1: Unteraegypten und Memphis [Giza pages only],Denkmaler aus Aegypten und Aethiopien 4,"Lepsius, Carl Richard. <I>Denkmäler aus Aegypten und Aethiopien. </I>Text 1: <I>Unteraegypten und Memphis</I> [Giza pages only]. Leipzig: J.C. Hinrichs'sche Buchhandlung, 1897.",1897,1897,Book,GERMAN,NULL,NULL,NULL
314,"Denkmäler aus Aegypten und Aethiopien. Plates 1, Band 1 [Giza plates only]",Denkmaler aus Aegypten und Aethiopien 1,"Lepsius, Carl Richard. <I>Denkmäler aus Aegypten und Aethiopien. </I>Plates 1, Band 1<I> </I>[Giza plates only]. Berlin: Nicolaische Buchhandlung, 1849-1859.",1849-1959,1849,Book,GERMAN,NULL,NULL,NULL
315,"Denkmäler aus Aegypten und Aethiopien. Plates 2, Band 3 [Giza plates only]",Denkmaler aus Aegypten und Aethiopien 2,"Lepsius, Carl Richard. <I>Denkmäler aus Aegypten und Aethiopien</I>. Plates 2, Band 3 [Giza plates only]. Berlin: Nicolaische Buchhandlung, 1849-1859.",1849-1859,1849,Book,GERMAN,NULL,NULL,NULL
316,"Denkmäler aus Aegypten und Aethiopien. Plates 2, Band 4 [Giza plates only]",Denkmaler aus Aegypten und Aethiopien 3,"Lepsius, Carl Richard. <I>Denkmäler aus Aegypten und Aethiopien</I>. Plates 2, Band 4 [Giza plates only]. Berlin: Nicolaische Buchhandlung, 1849-1859.",1849-1859,1849,Book,GERMAN,NULL,NULL,NULL
317,Denkmäler aus Aegypten und Aethiopien. Ergänzungsband [Giza plates only],Denkmaler aus Aegypten und Aethiopien 5,"Lepsius, Carl Richard. <I>Denkmäler aus Aegypten und Aethiopien</I>. Ergänzungsband [Giza plates only]. Berlin: Nicolaische Buchhandlung. Leipzig: J.C. Hinrichs'sche Buchhandlung, 1913.",1913,1913,Book,GERMAN,NULL,NULL,NULL
320,"Egyptian Museum Collections Around the World, pp. 385-396, ""The Development of Art in the Fourth Dynasty: The Eastern and GIS Cemeteries at Giza""",The Development of Art in the Fourth Dynasty: The Eastern and GIS Cemeteries at Giza,"Flentye, Laurel. ""The Development of Art in the Fourth Dynasty: The Eastern and GIS Cemeteries at Giza."" In Mamdouh Eldmaty and Mai Trad, eds. <I>Egyptian Museum Collections Around the World: Studies for the Centennial of the Egyptian Museum, Cairo</I>. Cairo: Supreme Council of Antiquities, 2002, pp. 385-396.",2002,2002,Article,ENGLISH,12,NULL,NULL
326,"Aeragram 1, No. 1 (Fall 1996)","Aeragram 01, No. 01","Lehner, Mark. <I>Aeragram</I> 1, No. 1 (Fall 1996).",1996,1996,Bulletin,ENGLISH,NULL,NULL,Aeragram
327,"Aeragram 1, No. 2 (Spring 1997)","Aeragram 01, No. 02","Lehner, Mark. <I>Aeragram</I> 1, No. 2 (Spring 1997).",1997,1997,Bulletin,ENGLISH,NULL,NULL,Aeragram
328,"Aeragram 2, No. 1 (Winter 1998)","Aeragram 02, No. 01","Lehner, Mark. <I>Aeragram</I> 2, No. 1 (Winter 1998).",1998,1998,Bulletin,ENGLISH,NULL,NULL,Aeragram
329,"Aeragram 2, No. 2 (Summer 1998)","Aeragram 02, no. 02","Lehner, Mark. <I>Aeragram</I> 2, No. 2 (Summer 1998).",1998,1998,Bulletin,ENGLISH,NULL,NULL,Aeragram
330,"Aeragram 3, No. 1 (1999)","Aeragram 03, No. 01","Lehner, Mark. <I>Aeragram</I> 3, No. 1 (1999).",1999,1999,Bulletin,ENGLISH,NULL,NULL,Aeragram
331,"Aeragram 3, No. 2 (2000)","Aeragram 03, No. 02","Lehner, Mark. <I>Aeragram</I> 3, No. 2 (2000).",2000,2000,Bulletin,ENGLISH,NULL,NULL,Aeragram
332,"Aeragram 4, No. 1 (Fall 2000)","Aeragram 04, No. 01","Lehner, Mark. <I>Aeragram</I> 4, No. 1 (Fall 2000).",Fall 2000,2000,Bulletin,ENGLISH,NULL,NULL,Aeragram
333,"Aeragram 4, No. 2 (Spring 2001)","Aeragram 04, No. 02","Lehner, Mark. <I>Aeragram</I> 4, No. 2 (Spring 2001).",Spring 2001,2001,Bulletin,ENGLISH,NULL,NULL,Aeragram
334,"Aeragram 5, No. 2 (Spring 2002)","Aeragram 05, No. 02","Lehner, Mark. <I>Aeragram</I> 5, No. 2 (Spring 2002).",Spring 2002,2002,Bulletin,ENGLISH,NULL,NULL,Aeragram
335,"Aeragram 6, No. 1 (Fall 2002)","Aeragram 06, No. 01","Lehner, Mark. <I>Aeragram</I> 6, No. 1 (Fall 2002).",Fall 2002,2002,Bulletin,ENGLISH,NULL,NULL,Aeragram
336,"Aeragram 6, No. 2 (Fall 2003)","Aeragram 06, No. 02","Lehner, Mark. <I>Aeragram</I> 6, No. 2 (Fall 2003).",Fall 2003,2003,Bulletin,ENGLISH,NULL,NULL,Aeragram
337,"Aeragram 7, No. 1 (Spring 2004)","Aeragram 07, No. 01","Lehner, Mark. <I>Aeragram</I> 7, No. 1 (Spring 2004).",Spring 2004,2004,Bulletin,ENGLISH,NULL,NULL,Aeragram
338,"Aeragram 7, No. 2 (Fall 2004)","Aeragram 07, No. 02","Lehner, Mark. <I>Aeragram</I> 7, No. 2 (Fall 2004).",Fall 2004,2004,Bulletin,ENGLISH,NULL,NULL,Aeragram
339,"Aeragram 8, No. 2 (Fall 2007)","Aeragram 08, No. 02","Lehner, Mark. <I>Aeragram</I> 8, No. 2 (Fall 2007).",Fall 2007,2007,Bulletin,ENGLISH,NULL,NULL,Aeragram
341,"Aeragram 5, No. 1 (Fall 2001)","Aeragram 05, No. 01","Lehner, Mark. <I>Aeragram</I> 5, No. 1 (Fall 2001).",Fall 2001,2001,Bulletin,ENGLISH,NULL,NULL,Aeragram
342,"Aeragram 8, No. 1 (Fall 2006)","<P>Aeragram 08, No. 01</P>","Lehner, Mark. <I>Aeragram</I> 8, No. 1 (Fall 2006).",Fall 2006,2006,Bulletin,ENGLISH,NULL,NULL,Aeragram
344,"Bulletin of the Museum of Fine Arts, Boston 33, No. 199 (October 1935), pp. 69-77, ""Report on the Egyptian Expedition during 1934-35""",Report on the Egyptian Expedition during 1934-35,"Reisner, George A. ""Report on the Egyptian Expedition during 1934-35."" <I>Bulletin of the Museum of Fine Arts, Boston </I>33, No. 199 (October 1935), pp. 69-77.",October 1935,1935,Bulletin,ENGLISH,,"Bulletin of the Museum of Fine Arts, Boston",
