ReferenceID,ConstituentID,ConstituentTypeID,Role,DisplayName,DisplayDate,Remarks,AlphaSort,ThumbPathName,ThumbFileName,ArchIDNum
107,2969,2,Publisher,Egypt Exploration Society,NULL,NULL,Egypt Exploration Society,NULL,NULL,NULL
109,1104,1,Author,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
109,3125,2,Publisher,Hearst Corporation,NULL,NULL,Hearst Corporation,NULL,NULL,NULL
110,471,1,Individual - Modern,Sir William Flinders Petrie,"British, 1853–1942",Father of British Egyptology.,"Petrie, William Matthew Flinders",NULL,NULL,NULL
110,934,1,Individual - Modern,Albert Morton Lythgoe,"American, 1868–1934",Egyptologist.  Nationality and life dates from Who was Who in Egyptology.,"Lythgoe, Albert Morton",NULL,NULL,NULL
110,1104,1,Author,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
110,1790,1,Individual - Modern,James Henry Breasted,"American, 1865–1935","Egyptologist; Father of Mr. Charles Breasted; Visitor from Chicago.  Nationality and life dates from Who was Who in Egyptology. ","Breasted, James Henry",https://nrs.harvard.edu,urn-3:FHCL:38024771?width=170&height=170,460502668
110,2131,1,Individual - Modern,Alan Jenvey Rowe,"British, 1890–1968",Egyptologist and archaeologist.  Nationality and life dates from Who was Who in Egyptology.,"Rowe, Alan Jenvey",NULL,NULL,NULL
110,3163,1,Publisher,F. Kezek,NULL,NULL,"Kezek, F.",NULL,NULL,NULL
110,3514,1,Individual - Modern,Mrs. Phoebe Apperson Hearst,NULL,Supported Reisner in the Egyptian Expedition of the University of California (1899-1905) [later the Joint Egyptian Expedition of Harvard University and the Boston Museum of Fine Arts].,"Hearst, Phoebe Apperson Mrs.",https://nrs.harvard.edu,urn-3:FHCL:38026071?width=170&height=170,460504618
111,75,3,Individual - Ancient,Hetepheres I (G 7000 X),NULL,"Wife of King Snefru, founder of Egypt’s Fourth Dynasty, and mother of King Khufu, builder of the Great Pyramid. Her burial was hidden in a secret chamber (labeled G 7000 X) nearly 90 feet underground, and contained beautiful pieces of gilded and inlaid wooden furniture, silver jewelry, and a large alabaster sarcophagus that was found to be mysteriously empty.",Hetepheres I,NULL,NULL,NULL
111,1104,1,Author,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
111,1462,1,Individual - Modern,Alfred Lucas,"British, 1867–1945",Chemist.  Nationality and life dates from Who was Who in Egyptology.,"Lucas, Alfred",https://nrs.harvard.edu,urn-3:FHCL:38557819?width=170&height=170,462437934
111,1675,1,Individual - Modern,W. A. Stewart,NULL,"Conservator who assisted with objects from G 7000 X, Hetepheres, at Harvard Camp, Giza.","Stewart, W. A.",NULL,NULL,NULL
111,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
111,3456,1,Individual - Modern,Bernard Rice,NULL,"A primary participant in the reconstruction of the Hetepheres I bed canopy from G 7000 X.  cf. Reisner, George A. ""The Bed Canopy of the Mother of Cheops."" Bulletin of the Museum of Fine Arts, Boston 30, no. 180 (August 1932), p. 57.","Rice, Bernard",NULL,NULL,NULL
112,1665,1,Individual - Modern,Mr. H. Lyman Story,NULL,MFA,"Story, H. Lyman",NULL,NULL,NULL
112,2545,1,Author,Ashton Sanborn,"American, 1882–1970",NULL,"Sanborn, Ashton",NULL,NULL,NULL
112,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
113,2545,1,Author,Ashton Sanborn,"American, 1882–1970",NULL,"Sanborn, Ashton",NULL,NULL,NULL
113,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
114,230,3,Individual - Ancient,Menkaure,NULL,Fifth king of Dynasty 4. Son of Khafre. Husband of Khamerernebti II. Builder of the Third Pyramid at Giza. Known two thousand years later by the Greeks as King Mycerinus.,Menkaure,https://nrs.harvard.edu,urn-3:FHCL:40666440?width=170&height=170,471613417
114,756,3,Individual - Ancient,Khafre,NULL,"Fourth king of Dynasty 4. Son of Khufu. Builder of the Second Pyramid at Giza and probably of the Great Sphinx as well. Known two thousand years later by the Greeks as King Khephren.  A number of diorite and greywacke statues and statue fragments depicting the king have been discovered in Khafre's valley temple, including Cairo CG 9-17. The fragmentary head of an alabaster royal statue (MFA 21.351 + MFA 33.1113) is attributed to Khafre.",Khafre,https://nrs.harvard.edu,urn-3:FHCL:40666428?width=170&height=170,471613399
114,1104,1,Individual - Modern,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
114,2972,2,Publisher,Society of Arts of the Massachusetts Institute of Technology,NULL,NULL,Society of Arts of the Massachusetts Institute of Technology,NULL,NULL,NULL
115,470,1,Individual - Modern,François Auguste Ferdinand Mariette,"French, 1821–1881",Pasha; Egyptologist; Professor; Archaeologist of Sphinx Temple.  Nationality and life dates from Who was Who in Egyptology.,"Mariette, François Auguste Ferdinand",NULL,NULL,NULL
115,1104,1,Author,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
115,1638,1,Individual - Modern,Pierre Lucien Lacau,"French, 1873–1963","Egyptologist.  Nationality and life dates from Who was Who in Egyptology.  (1873-1963) French Egyptologist; born at Brie-Comte-Robert, 25 Nov. 1873, son of Louis Clément L., an architect, and Lucie AdéIe Belin; he at first entered the Ecole Normale intending to take up geology and studied Natural Science at the Sorbonne; he then turned to philosophy taking his degree in this sub- ject 1897, but studying oriental languages simultaneously; he learnt Hebrew and wrote an article on a text in this language in the Revue d'Assyriologie when he was only twenty-one; the influence of Maspero (q.v.) led him to study Coptic and Egyptian and he joined the lnstitut Français at his suggestion and began work for the Cairo general catalogue; he arrived in Egypt in 1899 and in 1901 published his first article on an Egyptian subject, Textes de I'Ancien Testament en copte sahidique, in the Rec Trav, his first volume for the Catalogue on the coffins in the museum in Cairo followed in1906;in this work he not only revealed his philological knowledge in transcribing the texts, but also noted most carefully all the constructional details and provided useful diagrams as illustration; this work led him to become interested in religious texts and he published a series of articles on the Coffin Texts in Rec Trav, 26-37, which was of great importance before the appearance of the comprehensive work of de Buck (q.v.); he also wrote a number of articles on Egyptian grammar at this period; in 1912 Lacau was appointed Director of the IFAO in Cairo and the following year was elected a member of the lnstitut Egyptien; on 7 Oct. 1914 he was appointed Director of the Antiquities Service but delayed his departure to Egypt for war service until sept. 1915 when he was sent back to Egypt so that he could arrange a proper administration for the Antiquities Service throughout the war period; this done he returned to France, 1916, after delegating his work to the Secretary-General G. Daressy (q.v.); he returned to Egypt in 1917 and resumed his duties; in 1919 he married Anne-Marie Bernard, daughter of the Geography Professor at the Sorbonne, and was made Director of the Institut Français; he was made a correspondant of the Acad. des Inscriptions et Belles-Lettres, 1923; in the period after the war Lacau issued directives for the partial uncovering of the funerary temples and their dependant buildings at Saqqara, and for the study of the Memphite tombs both architecturally and functionally, and for essential restoration and consolidation work to be carried out at Karnak; sondages were also to be made with a view to making possible the publication of all the completed parts; at the time of the discovery of the Tomb of Tutankhamun Lacau insisted on all the finds being retained in Egypt and secured the entire collection for Cairo Museum; he returned to France in 1936, and succeeded Moret (q.v.) in his chair in Paris 1938; in 1939 he became a Member of the Acad. des Inscriptions et Belles- Lettres; after the war he paid three further visits to Egypt, 1950-4, and died in Paris, 27 March 1963; his principal works were, Sarcophages antérieurs au Nouvel Empire, 2 vols. 1904- 6; Fragments d'apocryphes coptes, 1904; Textes coptes en dialectes akhmimique et sahidique, 1908; Textes religieux égyptiens, I pt. 1910; Stéles du Nauvel Empire, 2 vols. 1909,1926, for Cairo Cat.; Une stéle juridique de Karnak, 1949-, Sur  le systéme hiéroglyphique, 1954; Une chapelle, de Sésostris ler à Karnak, with H. Chevrier, 1956; La Pyramide ? degrés, tom. 4. Inscriptions gravées sur les vases, with J. P. Lauer, 2 pts., 1959, 1961; Une chapelle d'Hatshebsout à Kamak, with H. Chevrier, 2nds, 1977, 1979.  ASAE 59 (1966), 33-52 (portr.) (J. P. Lauer); Annuaire du Collége de France 63 (1963), 39- 41 (M. Bataillon); AfO 21 (1966), 272-3 (J. Leclant); BIFA062 (1964), 231-5 (F. Daumas); Chron. D' Eg. 38 (1966), 244-6 (B. van de Walle); CRAIBL1963, 1964, 105-11 (P. Montet); Rev. Arch. 1963, ii, 55-8 (Ch. Picard); Rev. d'Eg. 15 (1963), 7-10 (portr.) (J. Sainte Fare Garnot); Rev. del'Histoire des Religions, cxliv, no. 444 (1963),128-31 (J. Sainte Fare Garnot).","Lacau, Pierre Lucien",https://nrs.harvard.edu,urn-3:FHCL:37946587?width=170&height=170,460313678
115,1886,1,Individual - Modern,Gaston Camille Charles Maspero,"French, 1846–1916","Sir; Egyptologist. Director of the Service des Antiquities. Nationality and life dates from Who was Who in Egyptology.  (1846-1916)  French Egyptologist, of Italian origin; he was born in Paris, 24 June 1846, son of Miss Adèle Maspero; he was naturalized when very young and educated at the Lycée Louis- le-Grand, 1853-65, and the Ecole Normale, Paris, 1865-7; he was made Professor of Egyptoloy Ecole des Hautes Etudes, 1869, he gained Doct.-ès 1873; appointed professor of Egyptian Philology and Archaeology, Coll. de France, 1874; Maspero became interested in hieroglyphs at the age of 14 while still at school, and in 1867 met Mariette (q.v.), who gave him two newly discovered hieroglyphic texts to study which, he then translated in less than a fortnight; he published these the same year, but his career was temporarily interrupted when he went with a French family to Montevideo and worked on the Inca language Quichua;  he returned to France and studied with de Rougé (q.v.); he married 1. Harriet Yapp, 1871 (d. 1873) 2. 1880 Louise Justine Elisabeth Madeleine Catherine Balluet d'Estournelles de Constant de Rebecque; he went to Egypt in 1880, as head of an archaeological mission which later became the IFAO, and organized the work of recording scenes and inscriptions in many important tombs, espec. in the Valley of Kings; he was appointed Director of the Bulaq Museum, succeeding Mariette, 1881-6; also of the Antiquities Service; Mariette when dying had been interested in the opening of the smaller pyramids and Brugsch (q.v.) had discovered and copied the texts in Pepi I and Merenre; Maspero continued this work and opened three more; in all he copied and translated 4,000 lines of inscription, making the first edition of these famous Pyramid Texts ; he was also involved in the removal of the Deir el-Bahari collection of mummies to Cairo Museum, 1881; it is impossible to list all of his great achievements here but the following must be cited: he arranged and catalogued the immense collections in Cairo Museum, regulated excavation throughout Egypt, inaugurated the systematic clearance and preservation of Karnak, and with Lord Cromer's help built up the then embryonic Antiquities Service with five inspectorates for different areas; Maspero returned to France 1886-99, and was again Director in Egypt, 1899-1914, when illness forced him to go back to France in July; under his direction Reisner (q.v.) undertook the Archaeological Survey of Nubia, 1907-9; he acquired many honours, Acad. des Inscriptions, 1883; Hon. Fellow, The Queen's College and Hon DCL, Oxford 1887; Hon. KCMG, 1909; Sec. Perpétuel, Acad. des Inscr., 1914; his activity, industry and learning were enormous, and he held the premier place in Egyptology in his generation; he edited the gigantic Cairo Catalogue which had reached 50 vols. at the time of his death, and the Nubian temples vols. which then numbered 12; he wrote on a very wide variety of subjects and the number of his published works listed in his bib. exceeds that of any other Egyptologist, c. 1200 items; many of these were small or else reviews, his principal works being, L'Inscripion dédicatoire du Temple d'Abydos, 1867; Hymne au Nil 1868; Une Enquête judiciaire à Thébes au temps de la XXe dynastie (i.e. Papyrus Abbott), 1871; Des formes de la conjugaison en égyptian antique en démotique et en copte 1871; Les Pronoms personnels en égyptien, 1872; Du genre épistolaire chez les Eyptiens de I'époque pharaonique, 1872; Histoire ancienne des peuples de l'Orient, 1875, and many later- eds.; Mémoire sur quelques Papyrus du Louvre, 1875 Etudes Egyptiennes-Romans et poésies du papyrus Harris no. 500..., 1879; Etudes Eg.- Etude sur quelques peintures et sur quelques texts relatifs aux funérailles, with le conte d'Apôpi et de Soknouri, 1881; La Trouvaille de Deir-el-Bahari, with E. Brugsch, 1881; Les Contes populaires de L'Egypte ancienne ..., 1882; Guide du visiteur au musée de Boulaq, 1883; La Trouvaille de Deir-el-Bahari, 1883; L' Archéologie éyptienne, 1887, trans. by A. B. Edwards; Les Momies Royales de Deir-el-Bahari, fol., 1889; Trois années de  fouilles dans les tombeaux de Thèbes et Memphis, fol., 1889; Catalogue du Musée Egyptien de Marseille, 1889; Histoire ancienne Egypte, Assyrie. 1890, trans.  by A. Morton; Fragments de manuscrits coptes-thèbains provenant de, la Bibl. du Deir Amba-Shenoudah. 1892; Les Inscriptions des pyramides deSaqqarah, 4°, 1894; Histoire ancienne des peuples de l'Orient classique, 3 vols., 4-, 1895, 1897, 1899, (trans, and ed. A. H. Sayce as The Dawn of Civilization -Egypt and Chaldea, 1896; The Struggle of the Nations - Egypt, Syria and Assyyia, 1896; The Passing of the Empires, 1900); Fouilles autour de la pyramide d'Ounas, with A. Barsanti, 1900; Guide du visiteur au musée du Caire, 1902; and many eds.; Causeries d'Egypte, 1907; Les Mémoires de Sinouhit..., 1908; New Light on Ancient Egypt, trans. E. Lee, 1908 Sarcophages des époques persane et ptolémaïque, Cairo Cat., 4°, 1908; Egypt: ancient sites and modern scenes, 1910; Essai sur I'art égyptien , 1912; Etudes de mythologie  et d'archéologie ég., 8 vols., 1893, 1898, 1900; 1911, 1912, 1913, 1916; Les enseignemets d'Amenemhaît l et à son fils Sanouasrît Ier 1914; he also translated Ebers Egypt, 1880,1881, edited the works of Renouf (q.v.) and as a young man transcribed Champollion's Notices, Maspero's second wife died Paris, 22jan. 1953 aged nearly 100; he died in Paris whilst about to address a meeting of the Academy, 30 june 1916   H. Cordier, Bibliographie de Gaston Maspero, 1922, 127-35, enumerates a long list of obituary notices of Maspero, many with portraits; H. Cordier, Maspero en Amérique, 1920; AE (1916), 145-9 (W. M. F. Petrie); ASAE 16 (1916), 129-40 (portr. Daressy) BSAC I (I 936) 'Gaston Maspero et les études coptes', 27-36 (portr.) (H. Munier); (CRAIBL, 1918 (1917), 445-82 (R. Cagnat); EB IIth ed., 17, 848; EB 1968 ed., 14, 1023 (W. R- Dawson); JEA 3 (1916), 227-34 (portr.) (E. Naville); JEA 33 (1947), 'Letters from Maspero to Amelia Edwards', 66.-89 (portr.) (W. R. Dawson); JMEOS 1915-16,104 (W. M. Crompton); JRAS 1917, 629-31 (L. W. King); La Grande Enc. 23, 362-3 (H. M.); Larousse 7, 144 (portr.); Mélanges Maspero, 3 vols. (I934-53)  Mem. IFAO tom. 66-8, Nation 103 New York (I 916), 176-7( J. H. Breasted); Petrie, 27 and passim; PSBA 38  141-5 (G. F. Legge); Réc. (1916), Ric. Trav. 38 (1916), 211-25 (portr.) (E, Chassinat); Rev. Arch. 5e ser., iv (I916), 172-6 (portr.) (E. Naville); Rev. de L'hist. des religions, Nov.-Dec. 1916, 031-264 (A. Moret); Rev. Hist. 1916, 434-40 (A. Moret); Sphinx 21 (1924), 1-11 (G. jéquier); WWWii, 710","Maspero, Gaston Camille Charles",NULL,NULL,NULL
116,1104,1,Author,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
116,1943,5,Individual - Ancient,Abutiu (in G 2188),NULL,"Ancient Egyptian dog's name. Inscribed block of limestone (35-10-22 = Cairo JE 67573), about 12 vertical lines of sunk relief inscription mentioning dog named [abwtjw] Abutiu; found reused as burial chamber lining in G 2188 Y.",Abutiu (a dog),https://nrs.harvard.edu,urn-3:FHCL:37962354?width=170&height=170,460356843
116,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
117,75,3,Individual - Ancient,Hetepheres I (G 7000 X),NULL,"Wife of King Snefru, founder of Egypt’s Fourth Dynasty, and mother of King Khufu, builder of the Great Pyramid. Her burial was hidden in a secret chamber (labeled G 7000 X) nearly 90 feet underground, and contained beautiful pieces of gilded and inlaid wooden furniture, silver jewelry, and a large alabaster sarcophagus that was found to be mysteriously empty.",Hetepheres I,NULL,NULL,NULL
117,202,3,Individual - Ancient,Khufu,NULL,"Second king of Dynasty 4, son of Snefru. Builder of the Great Pyramid at Giza, the only one of the Seven Wonders of the Ancient World still standing. Known two thousand years later by the Greeks as King Cheops. Horus name: [mDdw] Medjedu. Full birth-name: Khnum-Khufu.",Khufu,https://nrs.harvard.edu,urn-3:FHCL:41392423?width=170&height=170,478128242
117,1104,1,Author,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
117,1104,1,Individual - Modern,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
117,1127,1,Individual - Modern,Dr. Morton Howell,NULL,Visitor; American Minister,"Howell, Morton",https://nrs.harvard.edu,urn-3:FHCL:38557828?width=170&height=170,462437940
117,1425,1,Individual - Modern,Joseph Lindon Smith,"American, 1863–1950",Artist /expedition painter and copyist; Daughters Rachael and Frances also painted.  Nationality and life dates from Who was Who in Egyptology.,"Smith, Joseph Lindon",https://nrs.harvard.edu,urn-3:FHCL:37831773?width=170&height=170,459995547
117,1462,1,Individual - Modern,Alfred Lucas,"British, 1867–1945",Chemist.  Nationality and life dates from Who was Who in Egyptology.,"Lucas, Alfred",https://nrs.harvard.edu,urn-3:FHCL:38557819?width=170&height=170,462437934
117,1523,1,Individual - Modern,Dows Dunham,"American, 1890–1984","Egyptologist; Curator; Assistant Curator, Egyptian Department, Museum of Fine Arts, Boston.  Nationality and life dates from Who was Who in Egyptology.","Dunham, Dows",https://nrs.harvard.edu,urn-3:FHCL:38557695?width=170&height=170,462437841
117,1638,1,Individual - Modern,Pierre Lucien Lacau,"French, 1873–1963","Egyptologist.  Nationality and life dates from Who was Who in Egyptology.  (1873-1963) French Egyptologist; born at Brie-Comte-Robert, 25 Nov. 1873, son of Louis Clément L., an architect, and Lucie AdéIe Belin; he at first entered the Ecole Normale intending to take up geology and studied Natural Science at the Sorbonne; he then turned to philosophy taking his degree in this sub- ject 1897, but studying oriental languages simultaneously; he learnt Hebrew and wrote an article on a text in this language in the Revue d'Assyriologie when he was only twenty-one; the influence of Maspero (q.v.) led him to study Coptic and Egyptian and he joined the lnstitut Français at his suggestion and began work for the Cairo general catalogue; he arrived in Egypt in 1899 and in 1901 published his first article on an Egyptian subject, Textes de I'Ancien Testament en copte sahidique, in the Rec Trav, his first volume for the Catalogue on the coffins in the museum in Cairo followed in1906;in this work he not only revealed his philological knowledge in transcribing the texts, but also noted most carefully all the constructional details and provided useful diagrams as illustration; this work led him to become interested in religious texts and he published a series of articles on the Coffin Texts in Rec Trav, 26-37, which was of great importance before the appearance of the comprehensive work of de Buck (q.v.); he also wrote a number of articles on Egyptian grammar at this period; in 1912 Lacau was appointed Director of the IFAO in Cairo and the following year was elected a member of the lnstitut Egyptien; on 7 Oct. 1914 he was appointed Director of the Antiquities Service but delayed his departure to Egypt for war service until sept. 1915 when he was sent back to Egypt so that he could arrange a proper administration for the Antiquities Service throughout the war period; this done he returned to France, 1916, after delegating his work to the Secretary-General G. Daressy (q.v.); he returned to Egypt in 1917 and resumed his duties; in 1919 he married Anne-Marie Bernard, daughter of the Geography Professor at the Sorbonne, and was made Director of the Institut Français; he was made a correspondant of the Acad. des Inscriptions et Belles-Lettres, 1923; in the period after the war Lacau issued directives for the partial uncovering of the funerary temples and their dependant buildings at Saqqara, and for the study of the Memphite tombs both architecturally and functionally, and for essential restoration and consolidation work to be carried out at Karnak; sondages were also to be made with a view to making possible the publication of all the completed parts; at the time of the discovery of the Tomb of Tutankhamun Lacau insisted on all the finds being retained in Egypt and secured the entire collection for Cairo Museum; he returned to France in 1936, and succeeded Moret (q.v.) in his chair in Paris 1938; in 1939 he became a Member of the Acad. des Inscriptions et Belles- Lettres; after the war he paid three further visits to Egypt, 1950-4, and died in Paris, 27 March 1963; his principal works were, Sarcophages antérieurs au Nouvel Empire, 2 vols. 1904- 6; Fragments d'apocryphes coptes, 1904; Textes coptes en dialectes akhmimique et sahidique, 1908; Textes religieux égyptiens, I pt. 1910; Stéles du Nauvel Empire, 2 vols. 1909,1926, for Cairo Cat.; Une stéle juridique de Karnak, 1949-, Sur  le systéme hiéroglyphique, 1954; Une chapelle, de Sésostris ler à Karnak, with H. Chevrier, 1956; La Pyramide ? degrés, tom. 4. Inscriptions gravées sur les vases, with J. P. Lauer, 2 pts., 1959, 1961; Une chapelle d'Hatshebsout à Kamak, with H. Chevrier, 2nds, 1977, 1979.  ASAE 59 (1966), 33-52 (portr.) (J. P. Lauer); Annuaire du Collége de France 63 (1963), 39- 41 (M. Bataillon); AfO 21 (1966), 272-3 (J. Leclant); BIFA062 (1964), 231-5 (F. Daumas); Chron. D' Eg. 38 (1966), 244-6 (B. van de Walle); CRAIBL1963, 1964, 105-11 (P. Montet); Rev. Arch. 1963, ii, 55-8 (Ch. Picard); Rev. d'Eg. 15 (1963), 7-10 (portr.) (J. Sainte Fare Garnot); Rev. del'Histoire des Religions, cxliv, no. 444 (1963),128-31 (J. Sainte Fare Garnot).","Lacau, Pierre Lucien",https://nrs.harvard.edu,urn-3:FHCL:37946587?width=170&height=170,460313678
117,1675,1,Individual - Modern,W. A. Stewart,NULL,"Conservator who assisted with objects from G 7000 X, Hetepheres, at Harvard Camp, Giza.","Stewart, W. A.",NULL,NULL,NULL
117,1755,1,Individual - Modern,Osman Moharram (Bey),NULL,NULL,"Moharram, Osman",https://nrs.harvard.edu,urn-3:FHCL:37946587?width=170&height=170,460313678
117,2129,1,Individual - Modern,Noel F. Wheeler,British,"Wheeler was a Lieutenant Commander in the Royal Navy according to George A. Reisner's, ""A HIstory of the Giza Necropolis, Vol. I.""","Wheeler, Noel F.",https://nrs.harvard.edu,urn-3:FHCL:37946679?width=170&height=170,460313816
117,2150,1,Individual - Modern,Ibrahim Fahmy (Bey),NULL,NULL,"Fahmy, Ibrahim",https://nrs.harvard.edu,urn-3:FHCL:37946587?width=170&height=170,460313678
117,2582,2,Publisher,"Museum of Fine Arts, Boston",NULL,NULL,"Museum of Fine Arts, Boston",NULL,NULL,NULL
118,1104,1,Author,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
118,2970,2,Publisher,"The Harvard Bulletin, Incorporated",NULL,NULL,"Harvard Bulletin, Incorporated",NULL,NULL,NULL
120,1104,1,Author,George Andrew Reisner,"American, 1867–1942","Egyptologist, archaeologist; Referred to as ""the doctor"" and ""mudir"" (Arabic for ""director"") in the excavation records.  Nationality and life dates from Who was Who in Egyptology.","Reisner, George Andrew",https://nrs.harvard.edu,urn-3:FHCL:37961946?width=170&height=170,460356231
